temperature-maximale,temperature-minimale,vitesse-du-vent,temperature-du-vent,precipitations,humidite,visibilite,couverture-nuageuse,indice-de-chaleur,point-de-rosee,pression,heure-du-lever-du-soleil,heure-du-coucher-du-soleil,duree-du-jour,Date
31°,24°,14km/h,24°,1mm,89%,10km,34%,33,23°C,1015hPa,06:24:00,18:14:00,11:50:0,2020/01/03
31°,22°,15km/h,22°,0mm,48%,10km,5%,30,17°C,1015hPa,06:25:00,18:15:00,11:50:0,2020/01/04
31°,23°,16km/h,23°,,70%,10km,1%,31,21°C,1013hPa,06:25:00,18:15:00,11:50:0,2020/01/05
30°,25°,17km/h,25°,,76%,10km,4%,31,21°C,1012hPa,06:25:00,18:15:00,11:50:0,2020/01/06
29°,25°,18km/h,25°,,79%,10km,8%,32,23°C,1012hPa,06:26:00,18:16:00,11:50:0,2020/01/07
28°,25°,18km/h,25°,,84%,10km,18%,31,23°C,1013hPa,06:26:00,18:16:00,11:50:0,2020/01/08
28°,25°,17km/h,25°,,85%,10km,14%,31,23°C,1013hPa,06:27:00,18:17:00,11:50:0,2020/01/09
28°,25°,15km/h,25°,0mm,86%,10km,33%,32,24°C,1014hPa,06:27:00,18:17:00,11:50:0,2020/01/10
29°,26°,16km/h,26°,1mm,90%,10km,31%,33,24°C,1015hPa,06:27:00,18:18:00,11:51:0,2020/01/11
30°,25°,15km/h,25°,2mm,88%,9.75km,38%,33,23°C,1013hPa,06:28:00,18:18:00,11:50:0,2020/01/12
30°,25°,15km/h,25°,3mm,88%,9.75km,49%,34,23°C,1012hPa,06:28:00,18:19:00,11:51:0,2020/01/13
30°,26°,12km/h,26°,18mm,91%,8.75km,50%,34,24°C,1011hPa,06:28:00,18:19:00,11:51:0,2020/01/14
30°,25°,12km/h,25°,2mm,88%,9.5km,42%,33,24°C,1012hPa,06:28:00,18:20:00,11:52:0,2020/01/15
30°,26°,17km/h,26°,1mm,91%,9.875km,31%,34,24°C,1014hPa,06:29:00,18:20:00,11:51:0,2020/01/16
30°,26°,15km/h,26°,1mm,91%,10km,33%,34,25°C,1014hPa,06:29:00,18:20:00,11:51:0,2020/01/17
29°,26°,14km/h,26°,2mm,90%,9.875km,47%,33,24°C,1014hPa,06:29:00,18:21:00,11:52:0,2020/01/18
29°,25°,16km/h,25°,1mm,90%,9.75km,47%,33,24°C,1013hPa,06:30:00,18:21:00,11:51:0,2020/01/19
29°,26°,15km/h,26°,1mm,87%,9.75km,45%,33,24°C,1012hPa,06:30:00,18:22:00,11:52:0,2020/01/20
29°,26°,15km/h,26°,1mm,87%,9.875km,45%,33,24°C,1013hPa,06:30:00,18:22:00,11:52:0,2020/01/21
30°,26°,14km/h,26°,0mm,84%,10km,14%,34,24°C,1013hPa,06:30:00,18:22:00,11:52:0,2020/01/22
30°,26°,12km/h,26°,1mm,86%,10km,49%,34,24°C,1013hPa,06:30:00,18:23:00,11:53:0,2020/01/23
30°,26°,12km/h,26°,1mm,90%,9.875km,53%,34,25°C,1012hPa,06:30:00,18:23:00,11:53:0,2020/01/24
29°,26°,17km/h,26°,1mm,89%,9.875km,34%,32,25°C,1013hPa,06:31:00,18:23:00,11:52:0,2020/01/25
30°,25°,16km/h,25°,0mm,84%,10km,3%,33,23°C,1014hPa,06:31:00,18:24:00,11:53:0,2020/01/26
30°,25°,17km/h,25°,,80%,10km,3%,32,22°C,1014hPa,06:31:00,18:24:00,11:53:0,2020/01/27
30°,26°,15km/h,26°,,84%,10km,14%,33,23°C,1014hPa,06:31:00,18:24:00,11:53:0,2020/01/28
29°,25°,17km/h,25°,0mm,87%,10km,6%,33,24°C,1014hPa,06:31:00,18:25:00,11:54:0,2020/01/29
30°,26°,14km/h,26°,1mm,87%,10km,45%,33,24°C,1014hPa,06:31:00,18:25:00,11:54:0,2020/01/30
29°,25°,16km/h,25°,1mm,91%,10km,21%,33,24°C,1014hPa,06:31:00,18:25:00,11:54:0,2020/01/31
29°,26°,12km/h,26°,5mm,84%,9.625km,61%,33,24°C,1013hPa,06:28:00,18:18:00,11:50:0,2020/01/01
31°,26°,15km/h,26°,1mm,84%,9.875km,29%,34,25°C,1014hPa,06:29:00,18:19:00,11:50:0,2020/01/02
32°,24°,14km/h,24°,1mm,93%,10km,29%,33,24°C,1015hPa,06:29:00,18:19:00,11:50:0,2020/01/03
31°,22°,16km/h,22°,0mm,41%,10km,7%,30,16°C,1015hPa,06:30:00,18:20:00,11:50:0,2020/01/04
31°,23°,15km/h,23°,,64%,10km,2%,33,21°C,1013hPa,06:30:00,18:20:00,11:50:0,2020/01/05
29°,26°,18km/h,26°,,75%,10km,3%,31,22°C,1012hPa,06:30:00,18:21:00,11:51:0,2020/01/06
28°,24°,18km/h,24°,,84%,10km,8%,31,23°C,1012hPa,06:31:00,18:21:00,11:50:0,2020/01/07
29°,24°,18km/h,24°,,88%,10km,16%,31,23°C,1013hPa,06:31:00,18:22:00,11:51:0,2020/01/08
29°,24°,18km/h,24°,,88%,10km,16%,32,23°C,1013hPa,06:31:00,18:22:00,11:51:0,2020/01/09
29°,25°,17km/h,25°,,89%,10km,30%,33,24°C,1014hPa,06:32:00,18:23:00,11:51:0,2020/01/10
30°,25°,14km/h,25°,0mm,92%,10km,16%,34,24°C,1015hPa,06:32:00,18:23:00,11:51:0,2020/01/11
30°,25°,17km/h,25°,1mm,90%,9.875km,37%,34,24°C,1013hPa,06:33:00,18:24:00,11:51:0,2020/01/12
29°,25°,15km/h,25°,4mm,89%,9.5km,44%,33,24°C,1012hPa,06:33:00,18:24:00,11:51:0,2020/01/13
30°,26°,10km/h,26°,19mm,92%,8.5km,64%,35,24°C,1011hPa,06:33:00,18:24:00,11:51:0,2020/01/14
29°,26°,15km/h,26°,1mm,88%,9.875km,43%,33,24°C,1012hPa,06:33:00,18:25:00,11:52:0,2020/01/15
32°,25°,17km/h,25°,1mm,92%,10km,30%,37,24°C,1014hPa,06:34:00,18:25:00,11:51:0,2020/01/16
31°,25°,16km/h,25°,1mm,92%,9.875km,34%,35,25°C,1014hPa,06:34:00,18:26:00,11:52:0,2020/01/17
30°,25°,14km/h,25°,1mm,92%,9.875km,48%,34,25°C,1014hPa,06:34:00,18:26:00,11:52:0,2020/01/18
29°,25°,17km/h,25°,2mm,92%,9.5km,50%,34,24°C,1013hPa,06:34:00,18:26:00,11:52:0,2020/01/19
29°,26°,15km/h,26°,2mm,90%,9.75km,68%,34,25°C,1012hPa,06:35:00,18:27:00,11:52:0,2020/01/20
29°,26°,15km/h,26°,2mm,88%,10km,38%,32,24°C,1013hPa,06:35:00,18:27:00,11:52:0,2020/01/21
30°,26°,15km/h,26°,1mm,87%,10km,27%,34,24°C,1013hPa,06:35:00,18:28:00,11:53:0,2020/01/22
29°,26°,12km/h,26°,1mm,88%,10km,28%,34,24°C,1013hPa,06:35:00,18:28:00,11:53:0,2020/01/23
29°,27°,13km/h,27°,1mm,88%,9.875km,57%,34,25°C,1012hPa,06:35:00,18:28:00,11:53:0,2020/01/24
30°,26°,15km/h,26°,1mm,91%,10km,46%,34,25°C,1013hPa,06:36:00,18:29:00,11:53:0,2020/01/25
30°,26°,16km/h,26°,0mm,86%,10km,5%,33,24°C,1014hPa,06:36:00,18:29:00,11:53:0,2020/01/26
30°,26°,18km/h,26°,,83%,10km,4%,34,23°C,1014hPa,06:36:00,18:29:00,11:53:0,2020/01/27
30°,26°,15km/h,26°,,85%,10km,12%,34,24°C,1014hPa,06:36:00,18:30:00,11:54:0,2020/01/28
31°,26°,17km/h,26°,0mm,88%,10km,11%,36,24°C,1014hPa,06:36:00,18:30:00,11:54:0,2020/01/29
30°,26°,12km/h,26°,3mm,91%,9.875km,51%,35,25°C,1014hPa,06:36:00,18:30:00,11:54:0,2020/01/30
30°,26°,17km/h,26°,1mm,91%,10km,29%,35,25°C,1014hPa,06:36:00,18:30:00,11:54:0,2020/01/31
29°,26°,12km/h,26°,5mm,84%,9.625km,61%,33,24°C,1013hPa,06:26:00,18:16:00,11:50:0,2020/01/01
31°,26°,15km/h,26°,1mm,84%,9.875km,29%,34,25°C,1014hPa,06:26:00,18:16:00,11:50:0,2020/01/02
32°,24°,14km/h,24°,1mm,93%,10km,29%,33,24°C,1015hPa,06:27:00,18:17:00,11:50:0,2020/01/03
31°,22°,16km/h,22°,0mm,41%,10km,7%,30,16°C,1015hPa,06:27:00,18:17:00,11:50:0,2020/01/04
31°,23°,15km/h,23°,,64%,10km,2%,33,21°C,1013hPa,06:28:00,18:18:00,11:50:0,2020/01/05
29°,26°,18km/h,26°,,75%,10km,3%,31,22°C,1012hPa,06:28:00,18:18:00,11:50:0,2020/01/06
28°,24°,18km/h,24°,,84%,10km,8%,31,23°C,1012hPa,06:28:00,18:19:00,11:51:0,2020/01/07
29°,24°,18km/h,24°,,88%,10km,16%,31,23°C,1013hPa,06:29:00,18:19:00,11:50:0,2020/01/08
29°,24°,18km/h,24°,,88%,10km,16%,32,23°C,1013hPa,06:29:00,18:20:00,11:51:0,2020/01/09
29°,25°,17km/h,25°,,89%,10km,30%,33,24°C,1014hPa,06:30:00,18:20:00,11:50:0,2020/01/10
30°,25°,14km/h,25°,0mm,92%,10km,16%,34,24°C,1015hPa,06:30:00,18:21:00,11:51:0,2020/01/11
30°,25°,17km/h,25°,1mm,90%,9.875km,37%,34,24°C,1013hPa,06:30:00,18:21:00,11:51:0,2020/01/12
29°,25°,15km/h,25°,4mm,89%,9.5km,44%,33,24°C,1012hPa,06:31:00,18:21:00,11:50:0,2020/01/13
30°,26°,10km/h,26°,19mm,92%,8.5km,64%,35,24°C,1011hPa,06:31:00,18:22:00,11:51:0,2020/01/14
29°,26°,15km/h,26°,1mm,88%,9.875km,43%,33,24°C,1012hPa,06:31:00,18:22:00,11:51:0,2020/01/15
32°,25°,17km/h,25°,1mm,92%,10km,30%,37,24°C,1014hPa,06:31:00,18:23:00,11:52:0,2020/01/16
31°,25°,16km/h,25°,1mm,92%,9.875km,34%,35,25°C,1014hPa,06:32:00,18:23:00,11:51:0,2020/01/17
30°,25°,14km/h,25°,1mm,92%,9.875km,48%,34,25°C,1014hPa,06:32:00,18:24:00,11:52:0,2020/01/18
29°,25°,17km/h,25°,2mm,92%,9.5km,50%,34,24°C,1013hPa,06:32:00,18:24:00,11:52:0,2020/01/19
29°,26°,15km/h,26°,2mm,90%,9.75km,68%,34,25°C,1012hPa,06:32:00,18:24:00,11:52:0,2020/01/20
29°,26°,15km/h,26°,2mm,88%,10km,38%,32,24°C,1013hPa,06:33:00,18:25:00,11:52:0,2020/01/21
30°,26°,15km/h,26°,1mm,87%,10km,27%,34,24°C,1013hPa,06:33:00,18:25:00,11:52:0,2020/01/22
29°,26°,12km/h,26°,1mm,88%,10km,28%,34,24°C,1013hPa,06:33:00,18:25:00,11:52:0,2020/01/23
29°,27°,13km/h,27°,1mm,88%,9.875km,57%,34,25°C,1012hPa,06:33:00,18:26:00,11:53:0,2020/01/24
30°,26°,15km/h,26°,1mm,91%,10km,46%,34,25°C,1013hPa,06:33:00,18:26:00,11:53:0,2020/01/25
30°,26°,16km/h,26°,0mm,86%,10km,5%,33,24°C,1014hPa,06:33:00,18:26:00,11:53:0,2020/01/26
30°,26°,18km/h,26°,,83%,10km,4%,34,23°C,1014hPa,06:34:00,18:27:00,11:53:0,2020/01/27
30°,26°,15km/h,26°,,85%,10km,12%,34,24°C,1014hPa,06:34:00,18:27:00,11:53:0,2020/01/28
31°,26°,17km/h,26°,0mm,88%,10km,11%,36,24°C,1014hPa,06:34:00,18:27:00,11:53:0,2020/01/29
30°,26°,12km/h,26°,3mm,91%,9.875km,51%,35,25°C,1014hPa,06:34:00,18:28:00,11:54:0,2020/01/30
30°,26°,17km/h,26°,1mm,91%,10km,29%,35,25°C,1014hPa,06:34:00,18:28:00,11:54:0,2020/01/31
34°,17°,16km/h,17°,,19%,10km,1%,32,,1015hPa,06:38:00,18:13:00,11:35:0,2020/01/01
33°,16°,17km/h,16°,,19%,10km,1%,31,,1016hPa,06:38:00,18:14:00,11:36:0,2020/01/02
32°,16°,17km/h,16°,,22%,10km,3%,30,,1017hPa,06:39:00,18:14:00,11:35:0,2020/01/03
33°,14°,15km/h,13°,,18%,10km,0%,34,,1018hPa,06:39:00,18:15:00,11:36:0,2020/01/04
37°,14°,13km/h,14°,,19%,10km,1%,37,0°C,1015hPa,06:40:00,18:15:00,11:35:0,2020/01/05
38°,17°,10km/h,17°,,21%,10km,1%,38,1°C,1014hPa,06:40:00,18:16:00,11:36:0,2020/01/06
40°,18°,8km/h,18°,,23%,10km,2%,42,4°C,1013hPa,06:40:00,18:16:00,11:36:0,2020/01/07
38°,19°,10km/h,19°,,27%,10km,4%,37,4°C,1014hPa,06:41:00,18:17:00,11:36:0,2020/01/08
40°,22°,5km/h,22°,,36%,10km,6%,40,8°C,1013hPa,06:41:00,18:17:00,11:36:0,2020/01/09
37°,22°,10km/h,22°,,37%,10km,6%,36,8°C,1014hPa,06:41:00,18:18:00,11:37:0,2020/01/10
39°,21°,9km/h,21°,,33%,10km,21%,39,15°C,1016hPa,06:42:00,18:18:00,11:36:0,2020/01/11
39°,22°,6km/h,22°,,58%,10km,8%,40,15°C,1015hPa,06:42:00,18:19:00,11:37:0,2020/01/12
36°,20°,13km/h,20°,,25%,10km,6%,34,4°C,1014hPa,06:42:00,18:19:00,11:37:0,2020/01/13
35°,18°,12km/h,18°,,23%,10km,2%,33,1°C,1014hPa,06:42:00,18:20:00,11:38:0,2020/01/14
37°,19°,12km/h,19°,,29%,10km,1%,35,4°C,1014hPa,06:43:00,18:20:00,11:37:0,2020/01/15
38°,19°,12km/h,19°,,27%,10km,2%,37,4°C,1015hPa,06:43:00,18:21:00,11:38:0,2020/01/16
37°,20°,16km/h,20°,,28%,10km,1%,36,4°C,1015hPa,06:43:00,18:21:00,11:38:0,2020/01/17
36°,19°,15km/h,19°,,28%,10km,2%,34,3°C,1016hPa,06:43:00,18:22:00,11:39:0,2020/01/18
37°,18°,14km/h,18°,,22%,10km,1%,36,1°C,1014hPa,06:43:00,18:22:00,11:39:0,2020/01/19
37°,20°,10km/h,20°,,23%,10km,14%,36,8°C,1013hPa,06:44:00,18:23:00,11:39:0,2020/01/20
36°,22°,12km/h,22°,,59%,10km,24%,37,18°C,1013hPa,06:44:00,18:23:00,11:39:0,2020/01/21
40°,26°,12km/h,26°,,48%,10km,21%,42,17°C,1013hPa,06:44:00,18:24:00,11:40:0,2020/01/22
39°,24°,16km/h,24°,,33%,10km,16%,38,8°C,1013hPa,06:44:00,18:24:00,11:40:0,2020/01/23
38°,21°,17km/h,21°,,16%,10km,4%,37,0°C,1014hPa,06:44:00,18:25:00,11:41:0,2020/01/24
37°,19°,15km/h,19°,,15%,10km,0%,36,,1015hPa,06:44:00,18:25:00,11:41:0,2020/01/25
37°,19°,12km/h,19°,,13%,10km,1%,35,,1015hPa,06:44:00,18:25:00,11:41:0,2020/01/26
36°,19°,14km/h,19°,,14%,10km,0%,35,,1015hPa,06:44:00,18:26:00,11:42:0,2020/01/27
37°,19°,12km/h,19°,,12%,10km,4%,35,,1015hPa,06:44:00,18:26:00,11:42:0,2020/01/28
38°,21°,13km/h,21°,,15%,10km,1%,37,,1015hPa,06:44:00,18:26:00,11:42:0,2020/01/29
38°,19°,16km/h,19°,,12%,10km,8%,37,,1015hPa,06:44:00,18:27:00,11:43:0,2020/01/30
38°,20°,17km/h,20°,,10%,10km,14%,37,,1015hPa,06:44:00,18:27:00,11:43:0,2020/01/31
34°,16°,12km/h,16°,,24%,10km,0%,34,0°C,1016hPa,06:46:00,18:21:00,11:35:0,2020/01/01
33°,14°,12km/h,15°,,24%,10km,1%,32,,1016hPa,06:46:00,18:21:00,11:35:0,2020/01/02
33°,14°,11km/h,14°,,26%,10km,6%,34,,1017hPa,06:47:00,18:22:00,11:35:0,2020/01/03
33°,13°,8km/h,13°,,22%,10km,0%,32,,1018hPa,06:47:00,18:22:00,11:35:0,2020/01/04
36°,13°,5km/h,14°,,19%,10km,0%,35,,1016hPa,06:48:00,18:23:00,11:35:0,2020/01/05
36°,15°,6km/h,15°,,20%,10km,1%,35,0°C,1014hPa,06:48:00,18:23:00,11:35:0,2020/01/06
38°,16°,5km/h,16°,,23%,10km,3%,37,1°C,1013hPa,06:48:00,18:24:00,11:36:0,2020/01/07
37°,17°,8km/h,17°,,30%,10km,3%,35,3°C,1014hPa,06:49:00,18:25:00,11:36:0,2020/01/08
38°,20°,8km/h,20°,,33%,10km,5%,37,6°C,1014hPa,06:49:00,18:25:00,11:36:0,2020/01/09
37°,20°,12km/h,20°,,33%,10km,6%,35,7°C,1015hPa,06:49:00,18:26:00,11:37:0,2020/01/10
37°,18°,8km/h,18°,,33%,10km,8%,37,7°C,1016hPa,06:50:00,18:26:00,11:36:0,2020/01/11
38°,19°,7km/h,19°,,34%,10km,6%,37,7°C,1015hPa,06:50:00,18:27:00,11:37:0,2020/01/12
36°,19°,10km/h,19°,,26%,10km,4%,34,4°C,1014hPa,06:50:00,18:27:00,11:37:0,2020/01/13
35°,16°,8km/h,16°,,26%,10km,1%,34,2°C,1014hPa,06:50:00,18:28:00,11:38:0,2020/01/14
38°,18°,9km/h,18°,,31%,10km,1%,39,3°C,1014hPa,06:51:00,18:28:00,11:37:0,2020/01/15
37°,18°,10km/h,18°,,32%,10km,2%,36,2°C,1015hPa,06:51:00,18:29:00,11:38:0,2020/01/16
36°,18°,10km/h,18°,,25%,10km,4%,35,2°C,1015hPa,06:51:00,18:29:00,11:38:0,2020/01/17
36°,18°,14km/h,18°,,33%,10km,2%,34,2°C,1016hPa,06:51:00,18:30:00,11:39:0,2020/01/18
36°,18°,12km/h,18°,,29%,10km,1%,35,0°C,1015hPa,06:51:00,18:30:00,11:39:0,2020/01/19
36°,18°,11km/h,18°,,26%,10km,5%,35,4°C,1013hPa,06:52:00,18:30:00,11:38:0,2020/01/20
38°,20°,7km/h,20°,0mm,42%,10km,7%,37,12°C,1013hPa,06:52:00,18:31:00,11:39:0,2020/01/21
37°,23°,7km/h,23°,1mm,67%,9.875km,37%,38,18°C,1013hPa,06:52:00,18:31:00,11:39:0,2020/01/22
38°,23°,14km/h,23°,0mm,57%,10km,7%,38,14°C,1013hPa,06:52:00,18:32:00,11:40:0,2020/01/23
38°,21°,17km/h,21°,,24%,10km,8%,37,2°C,1013hPa,06:52:00,18:32:00,11:40:0,2020/01/24
37°,18°,13km/h,18°,,16%,10km,0%,36,0°C,1015hPa,06:52:00,18:33:00,11:41:0,2020/01/25
37°,18°,12km/h,18°,,17%,10km,2%,36,,1016hPa,06:52:00,18:33:00,11:41:0,2020/01/26
36°,18°,15km/h,18°,,17%,10km,1%,35,,1015hPa,06:52:00,18:33:00,11:41:0,2020/01/27
37°,18°,10km/h,18°,,17%,10km,6%,38,,1015hPa,06:52:00,18:34:00,11:42:0,2020/01/28
37°,19°,9km/h,19°,,18%,10km,1%,36,,1015hPa,06:52:00,18:34:00,11:42:0,2020/01/29
38°,19°,16km/h,19°,,17%,10km,19%,36,,1016hPa,06:52:00,18:35:00,11:43:0,2020/01/30
37°,18°,15km/h,18°,,14%,10km,22%,35,,1015hPa,06:52:00,18:35:00,11:43:0,2020/01/31
35°,19°,13km/h,19°,,16%,10km,3%,36,,1015hPa,06:29:00,18:06:00,11:37:0,2020/01/01
34°,20°,16km/h,20°,,16%,10km,1%,33,,1016hPa,06:29:00,18:06:00,11:37:0,2020/01/02
33°,18°,15km/h,18°,,17%,10km,3%,31,,1017hPa,06:30:00,18:07:00,11:37:0,2020/01/03
34°,17°,13km/h,17°,,17%,10km,3%,34,0°C,1017hPa,06:30:00,18:07:00,11:37:0,2020/01/04
37°,18°,10km/h,18°,,21%,10km,0%,36,1°C,1015hPa,06:30:00,18:08:00,11:38:0,2020/01/05
38°,19°,8km/h,19°,,29%,10km,2%,38,2°C,1013hPa,06:31:00,18:08:00,11:37:0,2020/01/06
39°,20°,7km/h,20°,,30%,10km,3%,38,4°C,1012hPa,06:31:00,18:09:00,11:38:0,2020/01/07
41°,22°,5km/h,22°,,32%,10km,7%,41,6°C,1013hPa,06:31:00,18:09:00,11:38:0,2020/01/08
42°,25°,4km/h,25°,,35%,10km,10%,43,8°C,1013hPa,06:32:00,18:10:00,11:38:0,2020/01/09
39°,24°,10km/h,24°,0mm,49%,10km,10%,39,17°C,1014hPa,06:32:00,18:10:00,11:38:0,2020/01/10
37°,23°,14km/h,23°,1mm,73%,10km,33%,37,20°C,1015hPa,06:32:00,18:11:00,11:39:0,2020/01/11
40°,24°,10km/h,24°,0mm,66%,10km,11%,39,19°C,1014hPa,06:33:00,18:11:00,11:38:0,2020/01/12
38°,23°,13km/h,23°,,30%,10km,8%,36,7°C,1013hPa,06:33:00,18:12:00,11:39:0,2020/01/13
37°,20°,14km/h,20°,,22%,10km,4%,35,0°C,1013hPa,06:33:00,18:12:00,11:39:0,2020/01/14
38°,21°,12km/h,21°,,28%,10km,4%,37,3°C,1013hPa,06:33:00,18:13:00,11:40:0,2020/01/15
38°,22°,13km/h,22°,,27%,10km,2%,37,3°C,1014hPa,06:34:00,18:13:00,11:39:0,2020/01/16
38°,22°,13km/h,22°,,25%,10km,2%,38,3°C,1015hPa,06:34:00,18:14:00,11:40:0,2020/01/17
36°,21°,13km/h,21°,,24%,10km,1%,35,1°C,1015hPa,06:34:00,18:14:00,11:40:0,2020/01/18
37°,21°,12km/h,21°,,19%,10km,1%,36,0°C,1014hPa,06:34:00,18:15:00,11:41:0,2020/01/19
38°,20°,8km/h,20°,,25%,10km,7%,38,7°C,1013hPa,06:34:00,18:15:00,11:41:0,2020/01/20
41°,24°,7km/h,24°,,55%,10km,22%,42,19°C,1013hPa,06:35:00,18:15:00,11:40:0,2020/01/21
39°,25°,12km/h,25°,,37%,10km,10%,39,15°C,1013hPa,06:35:00,18:16:00,11:41:0,2020/01/22
39°,23°,17km/h,23°,,23%,10km,5%,40,4°C,1014hPa,06:35:00,18:16:00,11:41:0,2020/01/23
39°,21°,18km/h,21°,,17%,10km,4%,38,0°C,1014hPa,06:35:00,18:17:00,11:42:0,2020/01/24
38°,20°,18km/h,20°,,12%,10km,0%,37,,1015hPa,06:35:00,18:17:00,11:42:0,2020/01/25
38°,20°,12km/h,20°,,11%,10km,,37,,1015hPa,06:35:00,18:18:00,11:43:0,2020/01/26
38°,19°,12km/h,19°,,11%,10km,,40,,1015hPa,06:35:00,18:18:00,11:43:0,2020/01/27
38°,19°,5km/h,19°,,14%,10km,0%,37,,1015hPa,06:35:00,18:18:00,11:43:0,2020/01/28
38°,21°,14km/h,21°,,14%,10km,2%,38,,1015hPa,06:35:00,18:19:00,11:44:0,2020/01/29
38°,21°,15km/h,21°,,8%,10km,3%,39,,1015hPa,06:35:00,18:19:00,11:44:0,2020/01/30
38°,20°,17km/h,20°,,10%,10km,4%,37,,1015hPa,06:35:00,18:19:00,11:44:0,2020/01/31
37°,21°,4km/h,21°,,99%,7.75km,31%,37,22°C,1014hPa,06:37:00,18:25:00,11:48:0,2020/01/01
36°,21°,6km/h,21°,,100%,6.5km,39%,36,22°C,1015hPa,06:37:00,18:25:00,11:48:0,2020/01/02
36°,20°,8km/h,20°,,94%,9km,10%,37,20°C,1016hPa,06:38:00,18:26:00,11:48:0,2020/01/03
36°,20°,11km/h,20°,,31%,10km,7%,35,9°C,1015hPa,06:38:00,18:26:00,11:48:0,2020/01/04
39°,19°,5km/h,19°,,47%,10km,2%,40,9°C,1014hPa,06:39:00,18:27:00,11:48:0,2020/01/05
38°,20°,6km/h,20°,,90%,10km,3%,38,18°C,1013hPa,06:39:00,18:27:00,11:48:0,2020/01/06
39°,20°,7km/h,20°,,87%,10km,6%,38,19°C,1012hPa,06:39:00,18:28:00,11:49:0,2020/01/07
40°,21°,7km/h,21°,,90%,10km,24%,41,19°C,1013hPa,06:40:00,18:28:00,11:48:0,2020/01/08
40°,21°,6km/h,21°,,87%,10km,29%,42,20°C,1013hPa,06:40:00,18:29:00,11:49:0,2020/01/09
36°,22°,6km/h,22°,0mm,99%,8.75km,46%,38,22°C,1014hPa,06:40:00,18:29:00,11:49:0,2020/01/10
31°,22°,7km/h,22°,5mm,99%,7.375km,71%,34,22°C,1015hPa,06:41:00,18:30:00,11:49:0,2020/01/11
38°,21°,5km/h,21°,1mm,97%,8.75km,39%,42,21°C,1014hPa,06:41:00,18:30:00,11:49:0,2020/01/12
38°,22°,5km/h,22°,1mm,96%,9km,48%,42,22°C,1013hPa,06:41:00,18:31:00,11:50:0,2020/01/13
34°,23°,6km/h,23°,8mm,93%,8.125km,63%,36,23°C,1012hPa,06:42:00,18:31:00,11:49:0,2020/01/14
36°,22°,5km/h,22°,0mm,97%,8.75km,32%,38,22°C,1013hPa,06:42:00,18:32:00,11:50:0,2020/01/15
38°,21°,7km/h,21°,0mm,99%,8.75km,26%,37,22°C,1014hPa,06:42:00,18:32:00,11:50:0,2020/01/16
38°,24°,6km/h,24°,1mm,87%,7.5km,51%,40,23°C,1014hPa,06:43:00,18:32:00,11:49:0,2020/01/17
36°,22°,5km/h,22°,0mm,99%,8.75km,33%,39,22°C,1014hPa,06:43:00,18:33:00,11:50:0,2020/01/18
35°,22°,6km/h,22°,1mm,99%,7.25km,74%,36,22°C,1014hPa,06:43:00,18:33:00,11:50:0,2020/01/19
34°,22°,9km/h,22°,0mm,99%,7.75km,48%,36,22°C,1012hPa,06:43:00,18:34:00,11:51:0,2020/01/20
36°,22°,7km/h,22°,2mm,99%,9.75km,55%,40,22°C,1013hPa,06:43:00,18:34:00,11:51:0,2020/01/21
35°,22°,6km/h,22°,16mm,99%,7km,63%,39,23°C,1013hPa,06:44:00,18:34:00,11:50:0,2020/01/22
37°,22°,8km/h,22°,0mm,99%,7.75km,41%,41,22°C,1013hPa,06:44:00,18:35:00,11:51:0,2020/01/23
35°,25°,4km/h,25°,1mm,89%,9km,54%,38,23°C,1013hPa,06:44:00,18:35:00,11:51:0,2020/01/24
39°,22°,4km/h,22°,0mm,99%,7.75km,30%,41,23°C,1014hPa,06:44:00,18:36:00,11:52:0,2020/01/25
37°,22°,7km/h,22°,1mm,100%,7.5km,51%,39,23°C,1015hPa,06:44:00,18:36:00,11:52:0,2020/01/26
38°,22°,7km/h,22°,1mm,99%,7.5km,52%,42,23°C,1014hPa,06:44:00,18:36:00,11:52:0,2020/01/27
37°,22°,6km/h,22°,0mm,98%,8.75km,32%,40,22°C,1014hPa,06:44:00,18:36:00,11:52:0,2020/01/28
39°,22°,5km/h,22°,1mm,95%,9km,33%,43,22°C,1014hPa,06:45:00,18:37:00,11:52:0,2020/01/29
37°,23°,6km/h,23°,1mm,97%,9km,39%,39,22°C,1015hPa,06:45:00,18:37:00,11:52:0,2020/01/30
38°,22°,7km/h,22°,1mm,99%,7.5km,49%,39,22°C,1015hPa,06:45:00,18:37:00,11:52:0,2020/01/31
31°,24°,12km/h,24°,5mm,92%,9.375km,62%,35,24°C,1013hPa,06:34:00,18:25:00,11:51:0,2020/01/01
30°,24°,11km/h,24°,3mm,93%,9.875km,52%,33,23°C,1014hPa,06:35:00,18:26:00,11:51:0,2020/01/02
31°,24°,13km/h,24°,1mm,91%,9.875km,28%,33,23°C,1015hPa,06:35:00,18:26:00,11:51:0,2020/01/03
30°,22°,14km/h,22°,0mm,45%,10km,13%,29,16°C,1015hPa,06:35:00,18:27:00,11:52:0,2020/01/04
32°,22°,12km/h,22°,,68%,10km,3%,32,21°C,1013hPa,06:36:00,18:27:00,11:51:0,2020/01/05
31°,22°,16km/h,22°,,84%,10km,1%,33,22°C,1012hPa,06:36:00,18:28:00,11:52:0,2020/01/06
31°,22°,18km/h,22°,,88%,10km,5%,32,22°C,1012hPa,06:37:00,18:28:00,11:51:0,2020/01/07
